Site, Name, Pleiades
ID-GIVEN-TO, Artakē, identifier 
urn:cite:ptolemy:lonlat.pt_ll_799, Illiberis in Gallia Narbonensis, 246433
urn:cite:ptolemy:lonlat.pt_ll_818, Hudata Sextia kolÅnia in Gallia Narbonensis, 148053
urn:cite:ptolemy:lonlat.pt_ll_823, Dinia in Gallia Narbonensis, 157843
urn:cite:ptolemy:lonlat.pt_ll_822, Albaugousta in Gallia Narbonensis, 151759
urn:cite:ptolemy:lonlat.pt_ll_821, Phoros NarÅnos in Gallia Narbonensis, 240988
urn:cite:ptolemy:lonlat.pt_ll_804, Baitirai in Gallia Narbonensis, 148056
urn:cite:ptolemy:lonlat.pt_ll_801, TolÅsa KolÅnia in Gallia Narbonensis, 246694
urn:cite:ptolemy:lonlat.pt_ll_803, KarkasÅ in Gallia Narbonensis, 246294
urn:cite:ptolemy:lonlat.pt_ll_805, NarbÅn kolÅnia in Gallia Narbonensis, 246347
urn:cite:ptolemy:lonlat.pt_ll_812, AouenniÅn kolÅnia in Gallia Narbonensis, 148004
urn:cite:ptolemy:lonlat.pt_ll_813, ArausiÅn in Gallia Narbonensis, 148054
urn:cite:ptolemy:lonlat.pt_ll_814, KabelliÅn kolÅnia in Gallia Narbonensis, 148027
urn:cite:ptolemy:lonlat.pt_ll_815, TarouskÅn in Gallia Narbonensis, 148209
urn:cite:ptolemy:lonlat.pt_ll_817, Arelaton kolÅnia in Gallia Narbonensis, 148217
urn:cite:ptolemy:lonlat.pt_ll_820, OuasiÅn in Gallia Narbonensis, 148228
urn:cite:ptolemy:lonlat.pt_ll_800, RhouskinÅn in Gallia Narbonensis, log-in required
urn:cite:ptolemy:lonlat.pt_ll_802, KesserÅ in Gallia Narbonensis, log-in required
urn:cite:ptolemy:lonlat.pt_ll_807, Nemauson kolÅnia in Gallia Narbonensis, log-in required 
urn:cite:ptolemy:lonlat.pt_ll_816, Glanon in Gallia Narbonensis, log-in required
urn:cite:ptolemy:lonlat.pt_ll_819, Ernaginon in Gallia Narbonensis, log-in required
urn:cite:ptolemy:lonlat.pt_ll_806, Ouindomagos in Gallia Narbonensis, x
urn:cite:ptolemy:lonlat.pt_ll_811, AkousiÅn kolÅnia in Gallia Narbonensis, x
